Census Year,Subject population,Age group of parent,Sex of parent,Territorial authority,Territorial authority Code,Unit,Value,Value Unit,Value Label,Null Reason
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,New Zealand,Total New Zealand,Count,131787,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Male,New Zealand,Total New Zealand,Count,23175,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Female,New Zealand,Total New Zealand,Count,108612,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Total,New Zealand,Total New Zealand,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Male,New Zealand,Total New Zealand,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,Total,Female,New Zealand,Total New Zealand,Percentage,100,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Total,New Zealand,Total New Zealand,Count,9987,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Male,New Zealand,Total New Zealand,Count,1428,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Female,New Zealand,Total New Zealand,Count,8562,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Total,New Zealand,Total New Zealand,Percentage,7.5781374490655,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Male,New Zealand,Total New Zealand,Percentage,6.1618122977346,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,*-24,Female,New Zealand,Total New Zealand,Percentage,7.8831068390233,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Total,New Zealand,Total New Zealand,Count,33369,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Male,New Zealand,Total New Zealand,Count,3972,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Female,New Zealand,Total New Zealand,Count,29397,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Total,New Zealand,Total New Zealand,Percentage,25.3204033781784,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Male,New Zealand,Total New Zealand,Percentage,17.1391585760518,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,25-34,Female,New Zealand,Total New Zealand,Percentage,27.0660700475086,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Total,New Zealand,Total New Zealand,Count,42978,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Male,New Zealand,Total New Zealand,Count,6930,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Female,New Zealand,Total New Zealand,Count,36045,number,Number of families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Total,New Zealand,Total New Zealand,Percentage,32.6117143572583,percentage,% of sole parent families,
2018,One parent with dependent child(ren) families in occupied private dwellings,35-44,Male,New Zealand,Total New Zealand,Percentage,29.9029126213592,percentage,% of sole parent families,
